		Austrian Newspapers Online (ANNO)	Ancestry	British Newspaper Archives	California Digital Newspaper Collection (CDNC)	Chronicling America	Colorado Historical Newspaper Collection (CHNC)	Delpher	DigiPress	DIFMOE	E-luxemburgensia	E-newspaperarchives	The European Library (TEL)	L'Express	Gallica	Georgia Historic Newspapers	Libraria - Ukrainian online periodicals archive	New York Times	POLONA	Retronews	Scriptorium	StaBi	Tessmann	Le Temps archives	Trove
newspaper metadata	Place of publication	y	y	y	y	y	y	y	y	y	y	y	n	n	y	y	y	n	y	y	n	y	y	n	y
newspaper metadata	Geographic coverage	n	y	y	n	y	n	y	y	y	n	n	n	y	n	y	n	n	n	u	n	y	y	n	n
newspaper metadata	Publisher	y	n	y	n	y	n	y	y	y	y	y	n	n	y	y	n	n	y	y	n	y	n	n	n
newspaper metadata	Date range	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y
newspaper metadata	Frequency (i.e. periodicity)	y	n	n	n	y	n	y	n	y	n	y	n	n  	n	y	n	n	y	y	n	y	y	n	n
newspaper metadata	ISSN, OCLC, LCCN	n	n	n	n	y	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	y
newspaper metadata	External links	y	n	n	n	y	n	n	n	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	y
newspaper metadata	Description of newspaper (historical)	y	n	n	y	y	n	n	y	y	y	y	n	n	n	y	n	n	n	y	y	y	y	n	y
newspaper metadata	Language	y	n	n	y	y	n	n	n	y	n	n	y	n	y	y	y	n	y	n	n	n	n	n	n
newspaper metadata	Calendar view of issues	y	?	?	y	y	n	n	y	y	y	y	n	n	y	y	y	n	n	n	n	?	y	n	n
newspaper metadata	Indication of archive holder	n	?	?	n	y	n	y	n	y	n	y	y	n	y	n	n	n	y	y	y	?	y	n	y
browsing	By date	y	y	y	y	n	y	n	y	y	y	y	n	y	n	y	y	?	n	y	?	n	n	n	y
browsing	By title	y	y	n	y	y	y	n	y	y	y	y	y	y	y	y	y	?	y	y	?	y	y	n	y
browsing	By place of publication	n	y	y	y	n	y	n	n	y	n	y	n	n	y	y	y	?	y	n	?	y	n	n	y
browsing	By user tag	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	?	n	n	?	n	n	n	y
browsing	By newspaper thematic (metadata)	y	n	n	n	n	n	n	n	n	n	n	n	n	y	y	n	?	n	y	?	n	n	n	y
search	Basic keyword search	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
search	Query autocomplete	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y	y	n	n	y	y	n	n
search	Boolean operators (AND, OR, NOT)	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	u	y	y	y	y	n	y	y	y
search	Phrase search	y	y	?	y	y	y	y	y	y	n	y	?	y	?	n	n	?	u	y	n	n	y	y	y
search	Fuzzy search	n	n	?	n	n	n	y	n	n	y	y	n	n	?	n	n	?	u	y	y	y	y	n	n
search	Wild card	y	y	?	n	n	n	y	y	y	n	y	n	n	?	n	n	?	u	n	n	n	y	n	n
search	Proximity search (near operator)	n	n	?	n	y	n	y	n	n	n	y	n	n	?	y	n	?	u	n	n	n	y	n	n
search	Limit the date range	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	n	y	y
search	Limit by language	y	n	?	n	n	n	n	n	y	n	y	n	n	?	n	y	?	y	n	n	?	n	n	n
search	Limit newspaper title(s)	y	n	?	y	y	y	y	y	n	n	y	n	y	?	y	y	?	n	y	y	y	y	y	y
search	Limit the place of publication	y	y	?	n	n	y	y	y	y	n	y	n	n	?	y	y	?	y	y	n	?	n	n	y
search	Limit by newspaper thematic (from metadata)	y	n	?	n	n	n	n	n	y	n	n	n	n	n	y	n	?	n	y	n	n	n	n	n
search	Limit newspaper segments / zones	n	y	y	y	n	y	y	y	n	y	y	n	y	n	n	n	n	n	n	n	n	n	y	y
search	Limit by article category	n	n	?	n	n	n	y	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	y
search	Limit article length	n	n	?	n	n	n	n	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	y
search	Limit by archival holder / library	n	n	?	n	n	n	n	y	y	n	n	n	n	?	n	y	?	n	n	n	?	n	n	y
search	Limit by license / accessibility	n	n	?	y	n	n	n	n	y	n	n	n	n	?	n	n	?	y	n	y	?	n	n	n
search	Query suggestion	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	?	n	n	n
search	Search by named entities	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
search	Other	-	-	-	-	search on specific page number only	-	online publication date, original archive	three different search "boxes": simple, advanced and "article search"	-	-	boost	-	filter by days of the week		-	-	index	available with text recognition or not	newspaper type, periodicity	editor, publisher, periodicity,		boost	-	-
result display	Display distribution over time (max aggregation level: decade)	n	y	y	n	n	n	y	y	n	n	n	n	y	n	n	n	n	n	n	y	n	y	n	y
result display	Display distribution by publication place	n	y		n	n	n	n	n	n	n	n	n	n	n	n	n		n	n	n	n	n	n	n
result display	Display in distribution by newspaper	n	n	n	n	n	n	y	y	n	n	y	n	n	n	n	n	n	n	n	n	y	n	n	y
result display	Display in distribution by place names in articles	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n
result display	Display of snippet preview (OCR and/or image)	y	y	y	y	n	y	y	y	n	y	y	y	y 	y  	n	y	n	y  	y	y	y	y	y	y
result display	Highlight of the searched keywords in facsimiles	y	y	y	y	y	y	y	y	y	y	y	n	y	y  	y	u	n	y  	y	y	n	y	y	n
result display	Highlight of the searched keywords in OCRised text	n	n	n	y	n	y	y	n	n	y	y	y	y	n	n	u	n	n	n	n	y	y	n	n
result display	Ngrams	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n  	y	n  	n	n	y	n
result sorting	By relevance	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	y	y	y	n	y	y	y
result sorting	By date	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	y	y	y	n	y	y	y
result sorting	By newspaper title	y	n	n	y	y	y	y	y	n	n	y	n	n	y	n	n	n	y	y	n	n	y	n	n
result sorting	By article title	n	n	n	y	n	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n
result sorting	By content type (ad, article, illustration)	n	n	n	y	n	y	n	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n
result sorting	By online publication date	y	y	n	n	?	n	n	n	y	n	n	n	n	y	n	n	?	?	y	n	?	n	n	n
result sorting	By author	n	n	n	n	?	n	n	n	n	n	n	n	n	y	n	n	?	y	n	n	?	n	n	n
result sorting	By quality of text	n	n	n	n	?	n	n	n	n	n	n	n	n	y	n	n	?	n	n	n	?	n	n	n
result sorting	By language	n	n	n	n	?	n	n	n	n	n	n	n	n		n	n	?	n	n	n	?	n	n	n
result sorting	By popularity (number of views)	n	n	n	n	?	n	n	n	n	n	n	n	n		n	n	?	n	n	y	?	n	n	n
result filtering	By newspaper titles	y	y	y	y	n	y	y	y	y	n	y	y	y	n	n	y	n	n	y	n	y	y	n	y
result filtering	By publishing frequency	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	y	n	n	n	n	n
result filtering	By political, religious, ... orientation of newspaper	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
result filtering	By newspaper thematic (metadata)	y	n	n	n	n	n	n	n	y	n	n	n	n	y	n	n	y	y	y	n	n	n	n	n
result filtering	By content types (i.e. article, ad, illustration, header, content, captions, newspaper section like sports, business)	n	n	y	y	n	y	y	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	y
result filtering	By sections/rubriques	n	n	n	y	n		n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	y
result filtering	By events	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
result filtering	By persons	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	y	n	n	y	n	n
result filtering	By organisations	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	y	y	n	n	y	n	n
result filtering	By places mentioned in the text	n	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	y	n	n	y	n	n
result filtering	By time period	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	n	y	y	y	n	y	y	y
result filtering	By topics	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
result filtering	By manual tags	n	n		y	n	y	n	n	n	n	n	n	n	n	n	n	?	n	n	n	?	n	n	n
result filtering	By publication place	y	y	y	y	y 	y	y	y	y	n	y	y	n	n	n	y	n	n	n	n	n	y	n	y
result filtering	By archive 	n	n	n	n	n	n	y	n	y	n	n	y	n	n	n	n	n	y	n	n	n	n	n	n
result filtering	By publisher	n	n	n	n	n	n	n	y	y	n	n	n	n	y	n	n	n	y	n	n	n	y	n	n
result filtering	By article length	n	n	?	y	?	y	n	n	n	n	y	n	n	?	n	n	?	n	n	n	?	n	n	y
result filtering	By authors	n	n	?	n	?	y	n	n	n	n	y	n	n	y	n	n	?	n	n	n	?	y	n	n
result filtering	By segmentation level	n	n	?	n	?	n	n	n	n	n	y	n	n	?	n	n	?	n	n	n	?	n	n	n
result filtering	By language	y	n	?	n	?	n	n	y	y	n	n	y	n	?	n	y	?	n	n	n	?	y	n	n
result filtering	By license	n	n	?	y	?	n	n	n	n	n	n	y	n	?	n	n	?	y	n	n	?	n	n	n
result filtering	By online publication date	n	y	y	n	?	n	y	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	n
viewer	Facsimile displayed	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
viewer	Optional OCRed text display	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	y	n	n	y	y	n	y	n	y
viewer	Show full width/height (=full page)	y	n	n	y 	y	y 	y	y	y	y	y	y	n	n   	y	y	y	n	y	n  	n	y	y	y
viewer	Interactive mini-map of page	n	n	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	y	y
viewer	Overview of available issues (get a sense of which issues are available to check for gaps)	y	n	y	n	y	y	y	y	n	n	y	n	y	n	n	n	n	n   	n	n	y	n	y	n
viewer	Search in viewed page	n	y	n	n	n	n	y	n	n	y	n	n	n	y	n	n	n	y	y	y	n	n	n	n
viewer	Option to continue to next page	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y 	y	y	y	y
viewer	Option to continue to next result	n	n	?	y	?	y	n	n	n	n	y	n	n	?	n	u	?	?	y	y	?	y	y	n
viewer	Other	navigation from the issue of a newspaper to all the issues of that same day or all the issues of the newspaper	-	?	?	?	y	copyright status, permalinks, rich metadata e.g. publication frequency, distribution reginal/national etc	change of color, contrast, rotation, annotation with shapes, pins, colors (not clear where is it saved...)	the metadata notice is visible in the viewer with clicable elements. 	there is an IPAD version of the app!	-	-	option to reduce /hide the options ribbon	?	-	u	index is a strong feature	notes and bookmark the page	n	n	?	n	n	-
user interaction	Save articles to favorites	n	y	y	y	y	y	y	n	n	n	y	n	y	y	n	n	n	y	y (requires user account - free)	n	n	n	n	n
user interaction	Save queries to favorites	n	y	y	y	n	n	n	n	n	n	n	n	n	y	y	n	n	n	y	n	n	n	n	n
user interaction	Tag articles	n	n	n	y	n	y	n	y	n	n	y	n	n	y	n	n	n	n	y (annotations)	n	n	n	n	y
user interaction	Keep track of viewed materials	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
user interaction	Article recommendations	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
user interaction	Permalinks	n	u	u	u	y	u	y	y	y	y	y	n	n	y	y	u	y	n	y	y	n	n	n	y
user interaction	Export citation	n	n	n	u	n	u	y	n	n	n	n	y	y	y	n	n	n	n	y	y	n	n	n	y
user interaction	Option to correct OCR	n	n	y	y	n	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y
user interaction	Option to correct OLR	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
user interaction	Users can add/edit of metadata	n	n	y	n	n	n	n	n	n	n	n	n	n	n (but can signal mistakes)	n	n	n	n	n	n	n	n	n	n
user interaction	Screenshot tool	n	y	n	y	n	n	y	y	y	n	y	n	y	n	n	n	n	n	y	y	n	n	n	n
user interaction	Download options (file formats)	jpeg, pdf, txt	jpg, pdf	pdf	PDF, JPG (+ high resolution for premium)	txt, xml, pdf, jp2	PDF	txt, jpg	jpeg, pdf and IIIF manifest	pdf, jpeg, OCR text to be copied	pdf	y (pdf)	JPG, PDF	pdf/jpeg (image to be copied), OCR to be copied	txt, pdf, csv	PDF (with text), JPEG	n	n	jpeg, pdf, xml for metadata	PDF of fasimile, .txt of OCR	pdf	pdf	pdf	PDF	JPG,PDF,TEXT
user interaction	Bulk downloads	n	?	n	u	n	u	y	y	n	n	n	n	n	y	n	n	n	y	y	n	y	n	n	y
user interaction	Organise articles in collections/favorites 	n	y	y	y	n	y	y	n	n	n	y	n	n	y	n	u	n	y	y	n	?	?	n	y
user interaction	Contrastive view of personal collections	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	u	n	n	n	n	?	?	n	n
user interaction	Other	-	notify for new search hits	-	-	x	-	generate citation	link to the DFG viewer: http://dfg-viewer.de/	-	the BNL created downloadable collections	-	-	-	-	y, persistent search result URL	-	-	-	-	-	-	-	-	possibility to define an email alert based on a search, to get updated about new results.
information on digitization	OLR at article level	n	n	n	y	n	n	n	n	n	y	y	n	y	n (?)	n	y	n	n	y	y	n	n	y	y
information on digitization	OCR confidence scores	n	n	n	n	n	n	n	n	n	n	n	n	n	n   	n	n	n	n	n	n	n	n	n	n
information on digitization	OLR confidence scores	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
information on digitization	Documentation of biases and shortcomings with regard to method and corpus?	n	n	y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n
information on digitization	Search result relevance score	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
information on digitization	Digitisation date at title level	n	n	n	n	u	n	n	n	y	n	n	n	n	n	n	n	n	n	u	n	?	?	n	n
information on digitization	Scan resolution (in dpi)	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	?	?	n	n
information on digitization	Information on used OCR tools	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	?	?	n	n
information on digitization	Copyright notice	y	n	n	y	y	y	y	y	n	y	y	y	n	y	y	y	n	y	y	n	n	y	n	y
information on digitization	Documentation of scan methods	y	n	y	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	?	n	n	y
enrichment	NERC	n	n	n	n	n	n	u	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y?	n	n
enrichment	Entity linking	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y?	n	n
enrichment	Automatic post-OCR correction	y?	u	n	n	u	n	y	n	n	n	n	n	n	n	n	n	n	n	u	n	n	n	n	n
enrichment	Crowd-sourced post-OCR correction	?	n	?	y	u	y	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y
enrichment	Topic Modelling	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y?	n	n	n	n	n
enrichment	Text re-use	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
enrichment	Sentiment Analysis	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
enrichment	Query	?	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
enrichment	Recommendations (of similar and/or relevant content)	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
enrichment	Event detection	n	?	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
connectivity	Third party identifiers (e.g. VIAF)	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
connectivity	Links to other repositories	n	n	n	n	y	n	y	n	n	n	n	y	n	n	n	n	n	n	y	n	n	n	n	n
connectivity	Semantic Web technologies	n	n	n	n	y	n	u	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
apis	Link to source code of the interface	n	n	n	n	n	n	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
apis	API	n	n	n	n	y	n	y	n	n	n	n	n	n	y	y	n	n	n	n	n	n	n	n	y
apis	IIIF Image API	n	n	n	n	n	n	n	y	n	n	y	y	n	n	y	n	n	n	n	n	y	n	y	n
apis	IIIF Presentation API	n	n	n	n	n	n	n	u	n	n	n	?	n	n	n	n	n	n	n	n	?	n	n	n
