			Austrian Newspapers Online (ANNO)	Ancestry	British Newspaper Archives	California Digital Newspaper Collection (CDNC)	Chronicling America	Colorado Historical Newspaper Collection (CHNC)	Delpher	DigiPress	DIFMOE	E-luxemburgensia	E-newspaperarchives	Europeana Newspapers	L'Express	Gallica	Georgia Historic Newspapers	Libraria - Ukrainian online periodicals archive	New York Times	POLONA	Retronews	Scriptorium	StaBi	Tessmann	Le Temps archives	Trove
Content filtering	result sorting	By relevance	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	y	y	y	n	y	y	y
Content filtering	result sorting	By date	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	y	y	y	n	y	y	y
Content filtering	result sorting	By newspaper title	y	n	n	y	y	y	y	y	n	n	y	n	n	y	n	n	n	y	y	n	n	y	n	n
Content filtering	result sorting	By article title	n	n	n	y	n	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n
Content filtering	result sorting	By content type (ad, article, illustration)	n	n	n	y	n	y	n	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n
Content filtering	result sorting	By online publication date	y	y	n	n	?	n	n	n	y	n	n	n	n	y	n	n	?	?	y	n	?	n	n	n
Content filtering	result sorting	By author	n	n	n	n	?	n	n	n	n	n	n	n	n	y	n	n	?	y	n	n	?	n	n	n
Content filtering	result sorting	By quality of text	n	n	n	n	?	n	n	n	n	n	n	n	n	y	n	n	?	n	n	n	?	n	n	n
Content filtering	result sorting	By language	n	n	n	n	?	n	n	n	n	n	n	n	n		n	n	?	n	n	n	?	n	n	n
Content filtering	result sorting	By popularity (number of views)	n	n	n	n	?	n	n	n	n	n	n	n	n		n	n	?	n	n	y	?	n	n	n
Content filtering	result filtering	By newspaper titles	y	y	y	y	n	y	y	y	y	n	y	y	y	n	n	y	n	n	y	n	y	y	n	y
Content filtering	result filtering	By publishing frequency	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	y	n	n	n	n	n
Content filtering	result filtering	By political, religious, ... orientation of newspaper	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Content filtering	result filtering	By newspaper thematic (metadata)	y	n	n	n	n	n	n	n	y	n	n	n	n	y	n	n	y	y	y	n	n	n	n	n
Content filtering	result filtering	By content types (i.e. article, ad, illustration, header, content, captions, newspaper section like sports, business)	n	n	y	y	n	y	y	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	y
Content filtering	result filtering	By sections/rubriques	n	n	n	y	n		n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	y
Content filtering	result filtering	By events	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Content filtering	result filtering	By persons	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	y	n	n	y	n	n
Content filtering	result filtering	By organisations	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	y	y	n	n	y	n	n
Content filtering	result filtering	By places mentioned in the text	n	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	y	n	n	y	n	n
Content filtering	result filtering	By time period	y	y	y	y	y	y	y	y	y	y	n	y	y	y	n	y	n	y	y	y	n	y	y	y
Content filtering	result filtering	By topics	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Content filtering	result filtering	By manual tags	n	n		y	n	y	n	n	n	n	n	n	n	n	n	n	?	n	n	n	?	n	n	n
Content filtering	result filtering	By publication place	y	y	y	y	y 	y	y	y	y	n	y	y	n	n	n	y	n	n	n	n	n	y	n	y
Content filtering	result filtering	By archive 	n	n	n	n	n	n	y	n	y	n	n	y	n	n	n	n	n	y	n	n	n	n	n	n
Content filtering	result filtering	By publisher	n	n	n	n	n	n	n	y	y	n	n	n	n	y	n	n	n	y	n	n	n	y	n	n
Content filtering	result filtering	By article length	n	n	?	y	?	y	n	n	n	n	y	n	n	?	n	n	?	n	n	n	?	n	n	y
Content filtering	result filtering	By authors	n	n	?	n	?	y	n	n	n	n	y	n	n	y	n	n	?	n	n	n	?	y	n	n
Content filtering	result filtering	By segmentation level	n	n	?	n	?	n	n	n	n	n	y	n	n	?	n	n	?	n	n	n	?	n	n	n
Content filtering	result filtering	By language	y	n	?	n	?	n	n	y	y	n	n	y	n	?	n	y	?	n	n	n	?	y	n	n
Content filtering	result filtering	By license	n	n	?	y	?	n	n	n	n	n	n	y	n	?	n	n	?	y	n	n	?	n	n	n
Content filtering	result filtering	By online publication date	n	y	y	n	?	n	y	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	n
Content search	interface	Interface is multilingual	n	n	n	n	n	n	n	n 	n 	y	y	y	n	y	n	y	n	y	n	y	n	y	n	n
Content search	browsing	By date	y	y	y	y	n	y	n	y	y	y	y	n	y	n	y	y	?	n	y	?	n	n	n	y
Content search	browsing	By title	y	y	n	y	y	y	n	y	y	y	y	y	y	y	y	y	?	y	y	?	y	y	n	y
Content search	browsing	By place of publication	n	y	y	y	n	y	n	n	y	n	y	n	n	y	y	y	?	y	n	?	y	n	n	y
Content search	browsing	By user tag	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	?	n	n	?	n	n	n	y
Content search	browsing	By newspaper thematic (metadata)	y	n	n	n	n	n	n	n	n	n	n	n	n	y	y	n	?	n	y	?	n	n	n	y
Content search	search	Basic keyword search	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
Content search	search	Boolean operators (AND, OR, NOT)	y	y	y	y	y	y	y	y	y	y	y	n	y	y	y	u	y	y	y	y	n	y	y	y
Content search	search	Phrase search	y	y	?	y	y	y	y	y	y	n	y	?	y	?	n	n	?	u	y	n	n	y	y	y
Content search	search	Fuzzy search	n	n	?	n	n	n	y	n	n	y	y	n	n	?	n	n	?	u	y	y	y	y	n	n
Content search	search	Wild card	y	y	?	n	n	n	y	y	y	n	y	n	n	?	n	n	?	u	n	n	n	y	n	n
Content search	search	Proximity search (near operator)	n	n	?	n	y	n	y	n	n	n	y	n	n	?	y	n	?	u	n	n	n	y	n	n
Content search	search	Limit the date range	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	n	y	y
Content search	search	Limit by language	y	n	?	n	n	n	n	n	y	n	y	n	n	?	n	y	?	y	n	n	?	n	n	n
Content search	search	Limit newspaper title(s)	y	n	?	y	y	y	y	y	n	n	y	n	y	?	y	y	?	n	y	y	y	y	y	y
Content search	search	Limit the place of publication	y	y	?	n	n	y	y	y	y	n	y	n	n	?	y	y	?	y	y	n	?	n	n	y
Content search	search	Limit by newspaper thematic (from metadata)	y	n	?	n	n	n	n	n	y	n	n	n	n	n	y	n	?	n	y	n	n	n	n	n
Content search	search	Limit newspaper segments / zones	n	y	y	y	n	y	y	y	n	y	y	n	y	n	n	n	n	n	n	n	n	n	y	y
Content search	search	Limit by article category	n	n	?	n	n	n	y	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	y
Content search	search	Limit article length	n	n	?	n	n	n	n	n	n	n	n	n	n	?	n	n	?	n	n	n	?	n	n	y
Content search	search	Limit by archival holder / library	n	n	?	n	n	n	n	y	y	n	n	n	n	?	n	y	?	n	n	n	?	n	n	y
Content search	search	Limit by license / accessibility	n	n	?	y	n	n	n	n	y	n	n	n	n	?	n	n	?	y	n	y	?	n	n	n
Content search	search	Search by named entities	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Content search	search	Other	-	-	-	-	search on specific page number only	-	online publication date, original archive	three different search "boxes": simple, advanced and "article search"	-	-	boost	-	filter by days of the week		-	-	index	available with text recognition or not	newspaper type, periodicity	editor, publisher, periodicity,		boost	-	-
Content search	viewer	Search in viewed page	n	y	n	n	n	n	y	n	n	y	n	n	n	y	n	n	n	y	y	y	n	n	n	n
Content search	viewer	Option to continue to next result	n	n	?	y	?	y	n	n	n	n	y	n	n	?	n	u	?	?	y	y	?	y	y	n
Content search	user interaction	Option to correct OCR	n	n	y	y	n	y	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y
Content search	user interaction	Option to correct OLR	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Content search	user interaction	Users can add/edit of metadata	n	n	y	n	n	n	n	n	n	n	n	n	n	n (but can signal mistakes)	n	n	n	n	n	n	n	n	n	n
Content search	enrichment	NERC	n	n	n	n	n	n	u	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y?	n	n
Content search	enrichment	Entity linking	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y?	n	n
Content search	enrichment	Automatic post-OCR correction	y?	u	n	n	u	n	y	n	n	n	n	n	n	n	n	n	n	n	u	n	n	n	n	n
Content search	enrichment	Crowd-sourced post-OCR correction	?	n	?	y	u	y	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y
Content search	enrichment	Topic Modelling	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y?	n	n	n	n	n
Content search	enrichment	Text re-use	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Content search	enrichment	Sentiment Analysis	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Content search	enrichment	Event detection	n	?	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Content search	result display	Highlight of the searched keywords in facsimiles	y	y	y	y	y	y	y	y	y	y	y	n	y	y  	y	u	n	y  	y	y	n	y	y	n
Content search	result display	Highlight of the searched keywords in OCRised text	n	n	n	y	n	y	y	n	n	y	y	y	y	n	n	u	n	n	n	n	y	y	n	n
Generosity	search	Query autocomplete	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	y	y	n	n	y	y	n	n
Generosity	search	Query suggestion	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	?	n	n	n
Generosity	result display	Display distribution over time (max aggregation level: decade)	n	y	y	n	n	n	y	y	n	n	n	n	y	n	n	n	n	n	n	y	n	y	n	y
Generosity	result display	Display distribution by publication place	n	y		n	n	n	n	n	n	n	n	n	n	n	n	n		n	n	n	n	n	n	n
Generosity	result display	Display in distribution by newspaper	n	n	n	n	n	n	y	y	n	n	y	n	n	n	n	n	n	n	n	n	y	n	n	y
Generosity	result display	Display in distribution by place names in articles	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n
Generosity	result display	Ngrams	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n  	y	n  	n	n	y	n
Generosity	viewer	Option to continue to next page	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y 	y	y	y	y
Generosity	user interaction	Article recommendations	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Generosity	enrichment	Recommendations (of similar and/or relevant content)	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
Source criticism	apis	Link to source code of the interface	n	n	n	n	n	n	?	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Source criticism	apis	API	n	n	n	n	y	n	y	n	n	n	n	n	n	y	y	n	n	n	n	n	n	n	n	y
Source criticism	apis	IIIF Image API	n	n	n	n	n	n	n	y	n	y	y	y	n	n	y	n	n	n	n	n	y	n	y	n
Source criticism	apis	IIIF Presentation API	n	n	n	n	n	n	n	u	n	n	n	?	n	n	n	n	n	n	n	n	?	n	n	n
Source criticism	newspaper collection	Newspaper date range	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
Source criticism	newspaper collection	Number of newspaper titles	y	y	u	y	y	y	u	y	y	y	y	y	y	u	y	y	y	y	y	u	y	y	y	y
Source criticism	newspaper collection	Number of issues	u	u	u	y	u	u	y	y	u	u	y	u	u	y	u	y	u	y	u	u	y	u	u	u
Source criticism	newspaper collection	Number of pages	y	y	y	y	y	y	y	y	u	u	y	u	u	u	u	y	u	u	u	u	u	u	y	y
Source criticism	newspaper collection	Number of articles	u	u	u	y	u	u	u	u	u	u	y	u	u	u	u	u	y	u	u	u	u	u	y	u
Source criticism	newspaper collection	Indication of the archive the issue was taken from	n	u	n	n	n	u	y	n	y	y	n	u	u	y	?	?	?	y	n	y	u	y	n	?
Source criticism	newspaper metadata	Alternative titles, succeeding titles, related titles	y	n	y	y	y	n	n	y	u	y	y	n	n	y	y	n	n	y	y	n	y	y	n	y
Source criticism	newspaper metadata	Place of publication	y	y	y	y	y	y	y	y	y	y	y	n	n	y	y	y	n	y	y	n	y	y	n	y
Source criticism	newspaper metadata	Geographic coverage	n	y	y	n	y	n	y	y	y	n	n	n	y	n	y	n	n	n	u	n	y	y	n	n
Source criticism	newspaper metadata	Publisher	y	n	y	n	y	n	y	y	y	y	y	n	n	y	y	n	n	y	y	n	y	n	n	n
Source criticism	newspaper metadata	Date range	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	n	y
Source criticism	newspaper metadata	Frequency (i.e. periodicity)	y	n	n	n	y	n	y	n	y	n	y	n	n  	n	y	n	n	y	y	n	y	y	n	n
Source criticism	newspaper metadata	Description of newspaper (historical)	y	n	n	y	y	n	n	y	y	y	y	n	n	n	y	n	n	n	y	y	y	y	n	y
Source criticism	newspaper metadata	Language	y	n	n	y	y	n	n	n	y	n	n	y	n	y	y	y	n	y	n	n	n	n	n	n
Source criticism	newspaper metadata	Calendar view of issues	y	?	?	y	y	n	n	y	y	y	y	n	n	y	y	y	n	n	n	n	?	y	n	n
Source criticism	newspaper metadata	Indication of archive holder	n	?	?	n	y	n	y	n	y	n	y	y	n	y	n	n	n	y	y	y	?	y	n	y
Source criticism	result display	Display of snippet preview (OCR and/or image)	y	y	y	y	n	y	y	y	n	y	y	y	y 	y  	n	y	n	y  	y	y	y	y	y	y
Source criticism	viewer	Facsimile displayed	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
Source criticism	viewer	Optional OCRed text display	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	y	n	n	y	y	n	y	n	y
Source criticism	viewer	Show full width/height (=full page)	y	n	n	y 	y	y 	y	y	y	y	y	y	n	n   	y	y	y	n	y	n  	n	y	y	y
Source criticism	viewer	Interactive mini-map of page	n	n	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	y	y
Source criticism	viewer	Overview of available issues (get a sense of which issues are available to check for gaps)	y	n	y	n	y	y	y	y	n	n	y	n	y	n	n	n	n	n   	n	n	y	n	y	n
Source criticism	info on digitization	OLR at article level	n	n	n	y	n	n	n	n	n	y	y	n	y	n (?)	n	y	n	n	y	y	n	n	y	y
Source criticism	info on digitization	OCR confidence scores	n	n	n	n	n	n	n	n	n	n	n	n	n	n   	n	n	n	n	n	n	n	n	n	n
Source criticism	info on digitization	OLR confidence scores	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Source criticism	info on digitization	Documentation of biases and shortcomings with regard to method and corpus?	n	n	y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Source criticism	info on digitization	Search result relevance score	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n
Source criticism	info on digitization	Digitisation date at title level	n	n	n	n	u	n	n	n	y	n	n	n	n	n	n	n	n	n	u	n	?	?	n	n
Source criticism	info on digitization	Scan resolution (in dpi)	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	?	?	n	n
Source criticism	info on digitization	Information on used OCR tools	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	?	?	n	n
Source criticism	info on digitization	Copyright notice	y	n	n	y	y	y	y	y	n	y	y	y	n	y	y	y	n	y	y	n	n	y	n	y
Source criticism	info on digitization	Documentation of scan methods	y	n	y	n	y	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	?	n	n	y
Source criticism	newspaper metadata	ISSN, OCLC, LCCN	n	n	n	n	y	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	y
User content management/exploration	user interaction	Save articles to favorites	n	y	y	y	y	y	y	n	n	n	y	n	y	y	n	n	n	y	y (requires user account - free)	n	n	n	n	n
User content management/exploration	user interaction	Save queries to favorites	n	y	y	y	n	n	n	n	n	n	n	n	n	y	y	n	n	n	y	n	n	n	n	n
User content management/exploration	user interaction	Tag articles	n	n	n	y	n	y	n	y	n	n	y	n	n	y	n	n	n	n	y (annotations)	n	n	n	n	y
User content management/exploration	user interaction	Keep track of viewed materials	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n
User content management/exploration	user interaction	Permalinks	n	u	u	u	y	u	y	y	y	y	y	n	n	y	y	u	y	n	y	y	n	n	n	y
User content management/exploration	user interaction	Export citation	n	n	n	u	n	u	y	n	n	n	n	y	y	y	n	n	n	n	y	y	n	n	n	y
User content management/exploration	user interaction	Screenshot tool	n	y	n	y	n	n	y	y	y	n	y	n	y	n	n	n	n	n	y	y	n	n	n	n
User content management/exploration	user interaction	Download options (file formats)	jpeg, pdf, txt	jpg, pdf	pdf	PDF, JPG (+ high resolution for premium)	txt, xml, pdf, jp2	PDF	txt, jpg	jpeg, pdf and IIIF manifest	pdf, jpeg, OCR text to be copied	pdf	y (pdf)	JPG, PDF	pdf/jpeg (image to be copied), OCR to be copied	txt, pdf, csv	PDF (with text), JPEG	n	n	jpeg, pdf, xml for metadata	PDF of fasimile, .txt of OCR	pdf	pdf	pdf	PDF	JPG,PDF,TEXT
User content management/exploration	user interaction	Bulk downloads	n	?	n	u	n	u	y	y	n	n	n	n	n	y	n	n	n	y	y	n	y	n	n	y
User content management/exploration	user interaction	Organise articles in collections/favorites 	n	y	y	y	n	y	y	n	n	n	y	n	n	y	n	u	n	y	y	n	?	?	n	y
User content management/exploration	user interaction	Contrastive view of personal collections	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	u	n	n	n	n	?	?	n	n
